Date,County,Total Cases,Percent of State's Cases,"Cases per 100,000",Total Deaths
20200715,Garza,22,0.0,353,0
20200715,Newton,21,0.0,154,0
20200715,Eastland,20,0.0,109,0
20200715,Coleman,0,0.0,0,0
20200715,Fisher,0,0.0,0,0
20200715,Kenedy,0,0.0,0,0
20200715,Mills,0,0.0,0,0
20200715,Terrell,0,0.0,0,0
20200715,Collingsworth,0,0.0,0,0
20200715,Delta,0,0.0,0,0
20200715,Hudspeth,0,0.0,0,0
20200715,Kent,0,0.0,0,0
20200715,McMullen,0,0.0,0,0
20200715,Rains,0,0.0,0,0
20200715,San Saba,0,0.0,0,0
20200715,Glasscock,0,0.0,0,0
20200715,Cochran,0,0.0,0,0
20200715,Baylor,0,0.0,0,0
20200715,Haskell,0,0.0,0,0
20200715,Menard,0,0.0,0,0
20200715,Briscoe,0,0.0,0,0
20200715,Knox,0,0.0,0,0
20200715,Real,0,0.0,0,0
20200715,Foard,0,0.0,0,0
20200715,Wilbarger,0,0.0,0,0
20200715,Motley,0,0.0,0,0
20200715,Roberts,0,0.0,0,0
20200715,Archer,0,0.0,0,0
20200715,Childress,0,0.0,0,0
20200715,Clay,0,0.0,0,0
20200715,Coke,0,0.0,0,0
20200715,Culberson,0,0.0,0,0
20200715,Hardeman,0,0.0,0,0
20200715,Stephens,0,0.0,0,0
20200715,Kimble,0,0.0,0,0
20200715,Kinney,0,0.0,0,0
20200715,Lipscomb,0,0.0,0,0
20200715,Edwards,0,0.0,0,0
20200715,Cottle,0,0.0,0,0
20200715,Hall,0,0.0,0,0
20200715,Jeff Davis,0,0.0,0,0
20200715,Upton,0,0.0,0,0
20200715,Oldham,0,0.0,0,0
20200715,Jack,0,0.0,0,0
20200715,Throckmorton,0,0.0,0,0
20200715,Dickens,0,0.0,0,0
20200715,Shackelford,0,0.0,0,0
20200715,Carson,0,0.0,0,0
20200715,Concho,0,0.0,0,0
20200715,Irion,0,0.0,0,0
20200715,Armstrong,0,0.0,0,0
20200715,Borden,0,0.0,0,0
20200715,Loving,0,0.0,0,0
20200715,Sterling,0,0.0,0,0
20200715,King,0,0.0,0,0
20200715,Stonewall,0,0.0,0,0
